Fund Code,Date,Asset Class,Name of Investment/Institution/Issuer/Fund Manager,Security Identifier,Units Held,Value (AUD),Weighting (%),Currency
EIBAIO,31 Dec 2022,International Shares (Listed equity),MURATA MANUFACTURING          JPY 50 COMMON,JP3914400001,"35,013.0000","2,577,886",0.0674,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NEC CORPORATION,JP3733000008,"13,791.0000","714,372",0.0187,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NETFLIX INC,US64110L1061,"7,808.0000","3,395,001",0.0888,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NIBE INDUSTRIER AB-B SHS,SE0015988019,"41,680.0000","572,761",0.0150,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NIDEC CORPORATION,JP3734800000,"17,586.0000","1,344,124",0.0351,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NOKIA CORPORATION - A SHARE   EUR 0-06,FI0009000681,"235,034.0000","1,600,506",0.0418,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NOMURA RESEARCH INSTITUTE LTD,JP3762800005,"6,482.0000","225,648",0.0059,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NORTHERN TRUST CP             COM USD1.666,US6658591044,"26,333.0000","3,436,104",0.0898,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NTT DATA CORP ORD JPY5000,JP3165700000,"51,316.0000","1,107,993",0.0290,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NVIDIA CORPORATION,US67066G1040,"32,521.0000","7,008,119",0.1832,
EIBAIO,31 Dec 2022,International Shares (Listed equity),NXP SEMICONDUCTORS NV,NL0009538784,"4,615.0000","1,075,404",0.0281,
EIBAIO,31 Dec 2022,International Shares (Listed equity),OMRON CORPORATION,JP3197800000,"18,079.0000","1,294,146",0.0338,
EIBAIO,31 Dec 2022,International Shares (Listed equity),OPEN TEXT CORPORATION,CA6837151068,"31,167.0000","1,360,854",0.0356,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ORANGE SA ORDS,FR0000133308,"290,546.0000","4,243,752",0.1110,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ORIENTIAL LAND CO LTD,JP3198900007,"43,016.0000","1,842,198",0.0482,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ORSTED A/S,DK0060094928,"5,647.0000","754,411",0.0197,
EIBAIO,31 Dec 2022,International Shares (Listed equity),OWENS CORNING INC,US6907421019,"24,025.0000","3,021,967",0.0790,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PARAMOUNT GLOBAL,US92556H2067,"40,926.0000","1,018,709",0.0266,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PAYCHEX INC,US7043261079,"25,451.0000","4,337,019",0.1134,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PAYPAL HOLDINGS INC,US70450Y1038,"23,198.0000","2,436,304",0.0637,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PEARSON ORD 25P,GB0006776081,"38,360.0000","639,052",0.0167,
EIBAIO,31 Dec 2022,International Shares (Listed equity),POWER CORPORATION OF CANADA,CA7392391016,"162,945.0000","5,648,104",0.1477,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PRINCIPAL FINANCIAL GROUP,US74251V1026,"42,435.0000","5,251,326",0.1373,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PROLOGIS INC,US74340W1036,"25,440.0000","4,228,873",0.1106,
EIBAIO,31 Dec 2022,International Shares (Listed equity),PRUDENTIAL FINANCIAL INC,US7443201022,"64,678.0000","9,485,884",0.2480,
EIBAIO,31 Dec 2022,International Shares (Listed equity),RANDSTAD NV,NL0000379121,"23,902.0000","2,142,589",0.0560,
EIBAIO,31 Dec 2022,International Shares (Listed equity),RECRUIT HOLDINGS CO LTD,JP3970300004,"27,429.0000","1,280,430",0.0335,
EIBAIO,31 Dec 2022,International Shares (Listed equity),RED ELECTRICA CORPORACION SA,ES0173093024,"108,318.0000","2,771,804",0.0725,
EIBAIO,31 Dec 2022,International Shares (Listed equity),RELX PLC,GB00B2B0DG97,"101,209.0000","4,107,510",0.1074,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ROBERT HALF INTERNATIONAL INC,US7703231032,"16,441.0000","1,789,950",0.0468,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ROGERS COMMUNICATIONS INC     COM STK CLASS 'B',CA7751092007,"54,377.0000","3,750,177",0.0980,
EIBAIO,31 Dec 2022,International Shares (Listed equity),S&P GLOBAL INC,US78409V1044,"11,448.0000","5,654,353",0.1478,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SALESFORCE INC,US79466L3024,"19,756.0000","3,862,730",0.1010,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SAP SE NPV,DE0007164600,"17,035.0000","2,584,181",0.0676,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SBA COMMUNICATIONS CORP-CL A,US78410G1040,"5,136.0000","2,122,775",0.0555,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SCHRODERS PLC,GB00BP9LHF23,"207,693.0000","1,606,244",0.0420,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SERVICENOW INC,US81762P1021,"4,745.0000","2,716,956",0.0710,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SGS SA CHF 20-0,CH0002497458,774.0000,"2,653,256",0.0694,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SHAW COMMUNICATIONS INC - B,CA82028K2002,"67,746.0000","2,876,147",0.0752,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SHOPIFY INC - CLASS A,CA82509L1076,"14,489.0000","741,585",0.0194,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SIRIUS XM HOLDINGS INC,US82968B1035,"544,944.0000","4,692,874",0.1227,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SKANDINAVISKA ENSKILDA BANKEN AB SERIES A SEK10,SE0000148884,"116,193.0000","1,972,452",0.0516,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SKYWORKS SOLUTIONS INC,US83088M1027,"12,152.0000","1,632,957",0.0427,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SMITH & NEPHEW PLC 12 2/9P,GB0009223206,"45,725.0000","899,879",0.0235,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SOFTBANK GROUP CORP,JP3436100006,"40,487.0000","2,553,758",0.0668,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SPLUNK INC,US8486371045,"4,087.0000","518,840",0.0136,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SS AND C TECHNOLOGIES HOLDINGS,US78467J1007,"35,816.0000","2,749,480",0.0719,
EIBAIO,31 Dec 2022,International Shares (Listed equity),STMICROELECTRONICS,NL0000226223,"9,443.0000","490,329",0.0128,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SUN HUNG KAI PROPERTIES LIMITED,HK0016000132,"261,436.0000","5,275,219",0.1379,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SUN LIFE FINANCIAL INC OF CANADA F/PAID ORD SHARES,CA8667961053,"137,906.0000","9,432,748",0.2466,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SWIRE PROPERTIES LTD,HK0000063609,"1,158,597.0000","4,342,883",0.1135,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SWISS REINSURANCE CO LIMITED,CH0126881561,"28,314.0000","3,902,629",0.1020,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SWISSCOM AG REG CHF 1-0,CH0008742519,"7,217.0000","5,826,853",0.1523,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SYNOPSYS INC,US8716071076,"7,097.0000","3,341,267",0.0874,
EIBAIO,31 Dec 2022,International Shares (Listed equity),SYSMEX CORPORATION,JP3351100007,"9,824.0000","878,099",0.0230,
EIBAIO,31 Dec 2022,International Shares (Listed equity),T-MOBILE US INC,US8725901040,"34,214.0000","7,063,251",0.1847,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TELEFONAKTIEBOLAGET LM ERICSSON - B SHS,SE0000108656,"46,462.0000","400,447",0.0105,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TELEFONICA DEUTSCHLAND HOLDING AG,DE000A1J5RX9,"442,674.0000","1,604,422",0.0419,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TELEFONICA SA,ES0178430E18,"693,645.0000","3,695,187",0.0966,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TELENOR AS,NO0010063308,"141,402.0000","1,938,847",0.0507,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TELIA COMPANY AB,SE0000667925,"451,652.0000","1,704,087",0.0446,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TESLA INC,US88160R1014,"33,290.0000","6,046,799",0.1581,
EIBAIO,31 Dec 2022,International Shares (Listed equity),THE BANK OF NEW YORK MELLON CORPORATION,US0640581007,"90,189.0000","6,053,813",0.1583,
EIBAIO,31 Dec 2022,International Shares (Listed equity),THE SAGE GROUP PLC,GB00B8C3BL03,"113,324.0000","1,498,755",0.0392,
EIBAIO,31 Dec 2022,International Shares (Listed equity),TRYG A/S,DK0060636678,"117,158.0000","4,099,687",0.1072,
EIBAIO,31 Dec 2022,International Shares (Listed equity),UDR INC,US9026531049,"61,765.0000","3,527,468",0.0922,
EIBAIO,31 Dec 2022,International Shares (Listed equity),UNITED UTILITIES GROUP PLC,GB00B39J2M42,"97,279.0000","1,710,689",0.0447,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VAIL RESORTS INCORPORATED,US91879Q1094,"9,195.0000","3,231,701",0.0845,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VEOLIA ENVIRONNEMENT,FR0000124141,"38,467.0000","1,452,910",0.0380,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VERBUND AG,AT0000746409,"7,008.0000","867,435",0.0227,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VERISK ANALYTICS INC,US92345Y1064,"20,379.0000","5,301,690",0.1386,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VESTAS WIND SYSTEMS A/S,DK0061539921,"37,000.0000","1,582,490",0.0414,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VISA INCORPORATED CLASS A SHARES,US92826C8394,"31,505.0000","9,651,928",0.2524,
EIBAIO,31 Dec 2022,International Shares (Listed equity),VMWARE INC,US9285634021,"23,673.0000","4,285,322",0.1120,
EIBAIO,31 Dec 2022,International Shares (Listed equity),WARNER BROS DISCOVERY INC,US9344231041,"44,398.0000","620,649",0.0162,
EIBAIO,31 Dec 2022,International Shares (Listed equity),WATERS CORP,US9418481035,"10,399.0000","5,253,109",0.1373,
EIBAIO,31 Dec 2022,International Shares (Listed equity),WELLTOWER INC REITS,US95040Q1040,"22,334.0000","2,158,794",0.0564,
EIBAIO,31 Dec 2022,International Shares (Listed equity),WEST JAPAN RAILWAY CO JPY50000,JP3659000008,"68,168.0000","4,364,539",0.1141,
EIBAIO,31 Dec 2022,International Shares (Listed equity),WOLTER KLUWER NV,NL0000395903,"13,944.0000","2,145,266",0.0561,
EIBAIO,31 Dec 2022,International Shares (Listed equity),WORKDAY INC,US98138H1014,"6,488.0000","1,600,960",0.0419,
EIBAIO,31 Dec 2022,International Shares (Listed equity),XYLEM INC-W/I,US98419M1009,"34,909.0000","5,691,827",0.1488,
EIBAIO,31 Dec 2022,International Shares (Listed equity),YASKAWA ELECTRIC MANUFACTURING,JP3932000007,"41,194.0000","1,945,105",0.0509,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ZURICH INSURANCE GROUP AG,CH0011075394,"12,650.0000","8,917,369",0.2331,
EIBAIO,31 Dec 2022,International Shares (Listed equity),ISRACARD LTD,IL0011574030,1.0000,2,0.0000,
EIBAIO,31 Dec 2022,International Shares (Listed equity),Total,,,"868,136,775",22.6976,
EIBAIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",AUSTRALIAN UNITY,,,"13,337,958",0.3487,
EIBAIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",DEXUS,,,"180,145,355",4.7099,
EIBAIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",INVESTA PROPERTY GROUP,,,"116,056,513",3.0343,
EIBAIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MIRVAC WHOLESALE OFFICE FUND - STAPLED,,,"10,148,046",0.2653,
EIBAIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BRIGHTLIGHT REAL ESTATE IMPACT FUND,,,"20,072,317",0.5248,
EIBAIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",DEXUS WHOLESALE PROPERTY FUND,,,"39,795,584",1.0405,
EIBAIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",GPT WHOLESALE OFFICE FUND,,,"22,108,802",0.5780,
EIBAIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",Total,,,"401,664,575",10.5016,
EIBAIO,31 Dec 2022,Cash (Cash),NATIONAL AUSTRALIA BANK,,,"194,889,960",5.0954,AUD
EIBAIO,31 Dec 2022,Cash (Cash),AUSWIDE BANK LTD.,,,"272,690",0.0071,AUD
EIBAIO,31 Dec 2022,Cash (Cash),BANK OF QUEENSLAND LIMITED,,,"1,682,052",0.0440,AUD
EIBAIO,31 Dec 2022,Cash (Cash),BENDIGO & ADELAIDE BANK LTD.,,,"1,666,475",0.0436,AUD
EIBAIO,31 Dec 2022,Cash (Cash),CREDIT UNION AUSTRALIA LTD.,,,"274,951",0.0072,AUD
EIBAIO,31 Dec 2022,Cash (Cash),IMB LIMITED,,,"1,090,419",0.0285,AUD
EIBAIO,31 Dec 2022,Cash (Cash),JUDO BANK,,,"1,089,218",0.0285,AUD
EIBAIO,31 Dec 2022,Cash (Cash),MYSTATE BANK LTD.,,,"1,372,028",0.0359,AUD
EIBAIO,31 Dec 2022,Cash (Cash),NATIONAL AUSTRALIA BANK LIMITED,,,"1,326,341",0.0347,AUD
EIBAIO,31 Dec 2022,Cash (Cash),SUNCORP GROUP LIMITED,,,"547,908",0.0143,AUD
EIBAIO,31 Dec 2022,Cash (Cash),WESTPAC BANKING CORPORATION,,,"1,326,341",0.0347,AUD
EIBAIO,31 Dec 2022,Cash (Cash),Total,,,"205,538,383",5.3738,
EIBAIO,31 Dec 2022,,Grand Total,,,"3,824,802,642",100.0000,
